card_number,month,year,cvv
5129323082231441,12,2026,245
5129328727066706,04,2024,844
5129327314334022,08,2027,963
5129327603265838,05,2027,989
5129322463667407,06,2026,336
5129323772527587,12,2026,898
5129322620713004,08,2026,790
5129324413015487,06,2024,630
5129322483015262,05,2023,199
5129327027516048,12,2025,775
5129321855736802,02,2027,172
5129327653107864,02,2026,600
5129325373625256,12,2025,553
5129321015563773,06,2027,776
5129328062715271,01,2026,832
5129325685816241,05,2026,439
5129326340336886,03,2027,120
5129325813628068,11,2024,942
5129322233700509,01,2023,940
5129322778322084,10,2025,401
5129322655133554,07,2023,711
5129322346206066,05,2027,812
5129321822280314,10,2025,594
5129327462080674,06,2025,766
5129323823970024,08,2026,544
5129320362800101,08,2025,964
5129327113541207,10,2023,809
5129326534017532,04,2024,466
5129324427711782,01,2026,698
5129321813272676,08,2023,650
5129323147134024,11,2024,441
5129325311355735,05,2024,407
5129325188347500,09,2025,822
5129323688460238,06,2023,329
5129321454825360,01,2024,668
5129324285072228,11,2023,699
5129327143572453,09,2024,788
5129325407036231,12,2025,216
5129320164233873,06,2025,775
5129322184540006,10,2024,778
5129321425013500,04,2024,180
5129323055276175,01,2026,288
5129326471753016,05,2023,614
5129328786603880,10,2023,793
5129321556716343,09,2023,937
5129326271464582,08,2024,458
5129328442755278,04,2024,791
5129325787528278,12,2026,675
5129328251216120,07,2023,903
5129320032825314,10,2027,452
